county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km
BC,Bacau,Moinesti,363214,0.424,0.363,0.38,0.355,0.446,0.29,7.17,2.0,249.68,365.3
BZB,Bucuresti,Sector 1,777381,0.691,0.292,0.234,0.322,0.316,0.19,0.65,1.04,330.44,141.33
MH,Mehedinti,Drobeta-Turnu Severin,292225,0.195,0.17,0.332,0.241,0.19,0.37,2.64,6.64,543.46,13.38
CJ,Cluj,Turda,703274,0.493,0.415,0.28,0.349,0.356,0.21,0.25,0.66,183.11,327.57
NT,Neamt,Roman,796184,0.355,0.546,0.384,0.488,0.426,0.41,0.42,7.95,235.02,324.75
TM,Timis,Lugoj,777063,0.471,0.422,0.254,0.369,0.318,0.26,0.14,1.17,305.11,32.86
MS,Mures,Targu Mures,330619,0.385,0.517,0.331,0.341,0.367,0.12,6.38,6.46,582.17,40.04
BZB,Bucuresti,Sector 4,588367,0.72,0.352,0.204,0.316,0.347,0.81,0.43,2.45,178.54,154.46
CJ,Cluj,Cluj-Napoca,815126,0.502,0.395,0.235,0.349,0.334,0.15,0.44,1.76,458.63,221.45
BZB,Bucuresti,Sector 1,788075,0.668,0.361,0.196,0.402,0.341,0.08,0.21,0.97,220.84,226.17
SV,Suceava,Radauti,796387,0.381,0.537,0.35,0.461,0.421,0.67,2.69,18.0,234.08,30.15
BC,Bacau,Onesti,348271,0.501,0.442,0.455,0.394,0.373,0.31,4.97,6.23,422.16,119.8
TL,Tulcea,Babadag,252133,0.396,0.269,0.633,0.529,0.343,0.26,0.78,0.62,20.03,11.41
GL,Galati,Galati,712199,0.46,0.426,0.432,0.364,0.378,0.45,1.9,18.0,114.15,21.34
CJ,Cluj,Dej,843665,0.573,0.394,0.286,0.423,0.348,0.25,0.37,0.84,237.67,260.46
CS,Caras-Severin,Resita,765773,0.139,0.262,0.194,0.22,0.211,0.16,0.2,8.11,84.94,149.61
PH,Prahova,Sinaia,285810,0.494,0.4,0.307,0.378,0.33,0.43,0.79,1.34,254.83,196.15
MM,Maramures,Baia Mare,199821,0.298,0.501,0.378,0.467,0.395,0.23,0.62,14.83,325.54,53.38
BV,Brasov,Fagaras,223507,0.313,0.578,0.347,0.51,0.467,0.07,6.69,18.0,189.21,233.4
BH,Bihor,Salonta,859048,0.346,0.373,0.318,0.369,0.401,0.19,2.41,8.79,339.16,263.17
BZB,Bucuresti,Sector 1,806737,0.59,0.331,0.224,0.384,0.309,0.1,0.44,0.36,539.95,208.6
BZB,Bucuresti,Sector 4,587655,0.576,0.366,0.228,0.304,0.401,0.2,0.84,0.7,441.34,342.59
HD,Hunedoara,Deva,764836,0.37,0.485,0.347,0.455,0.432,0.49,1.92,4.49,497.55,105.68
BZB,Bucuresti,Sector 1,383544,0.689,0.339,0.203,0.382,0.367,0.12,0.46,3.78,280.54,206.37
CJ,Cluj,Cluj-Napoca,446500,0.541,0.425,0.28,0.324,0.328,0.43,0.31,0.95,96.36,234.01
BZB,Bucuresti,Sector 2,805444,0.675,0.33,0.194,0.325,0.361,0.38,0.3,1.19,266.33,329.28
GJ,Gorj,Motru,387055,0.39,0.489,0.351,0.342,0.328,0.11,2.63,13.62,590.96,202.79
CT,Constanta,Mangalia,294499,0.417,0.25,0.62,0.671,0.375,0.08,0.75,15.33,29.93,16.23
IS,Iasi,Iasi,820355,0.608,0.353,0.282,0.339,0.409,0.25,0.46,3.29,410.63,131.82
BZB,Bucuresti,Sector 4,345315,0.582,0.307,0.214,0.4,0.36,0.08,0.89,1.41,230.09,394.34
CJ,Cluj,Turda,905030,0.55,0.47,0.252,0.344,0.399,0.69,0.5,1.03,183.48,108.77
PH,Prahova,Sinaia,634829,0.487,0.437,0.263,0.37,0.416,0.17,0.19,1.77,562.75,71.62
BR,Braila,Braila,866917,0.435,0.381,0.418,0.443,0.33,0.23,2.09,18.0,139.72,3.15
MM,Maramures,Baia Mare,754324,0.354,0.564,0.329,0.374,0.445,0.39,2.69,12.92,395.54,87.33
BZB,Bucuresti,Sector 1,618213,0.705,0.327,0.243,0.397,0.332,0.1,1.27,1.12,100.14,165.8
SB,Sibiu,Sibiu,392265,0.3,0.6,0.3,0.387,0.45,0.13,2.94,3.27,463.92,301.83
SV,Suceava,Suceava,266869,0.323,0.492,0.389,0.497,0.389,0.63,7.5,9.48,513.34,191.56
TR,Teleorman,Alexandria,895329,0.426,0.338,0.319,0.401,0.399,0.16,3.73,9.45,516.78,390.29
NT,Neamt,Roman,120279,0.404,0.47,0.376,0.467,0.408,0.08,2.13,18.0,531.64,212.89
CS,Caras-Severin,Caransebes,365181,0.128,0.304,0.197,0.242,0.211,0.13,1.07,9.23,382.91,136.72
CJ,Cluj,Dej,751550,0.439,0.389,0.263,0.417,0.411,0.07,0.21,0.85,543.98,301.68
IS,Iasi,Pascani,257956,0.497,0.345,0.333,0.38,0.39,0.2,0.38,0.22,224.63,397.33
BC,Bacau,Onesti,539383,0.508,0.406,0.41,0.372,0.428,0.18,0.83,8.77,578.04,344.55
BH,Bihor,Alesd,672659,0.349,0.348,0.284,0.357,0.354,0.36,2.21,16.64,307.83,236.19
BZB,Bucuresti,Sector 2,354481,0.689,0.358,0.221,0.299,0.334,0.42,0.12,2.46,340.02,289.96
AR,Arad,Lipova,956859,0.41,0.42,0.356,0.346,0.314,0.22,2.08,4.17,139.11,293.55
DJ,Dolj,Craiova,284987,0.48,0.386,0.385,0.375,0.308,0.06,3.39,11.33,376.51,61.28
CS,Caras-Severin,Resita,511579,0.168,0.34,0.179,0.23,0.227,0.16,7.5,0.22,188.53,84.98
CT,Constanta,Medgidia,554964,0.458,0.227,0.54,0.559,0.362,0.54,2.07,16.1,29.53,14.39
CJ,Cluj,Turda,954551,0.508,0.464,0.267,0.427,0.407,0.29,0.57,3.16,445.47,388.46
MM,Maramures,Baia Mare,107762,0.277,0.595,0.302,0.448,0.475,0.09,5.82,7.42,294.55,313.8
MM,Maramures,Baia Mare,605076,0.28,0.537,0.37,0.383,0.486,0.06,3.35,7.21,329.67,349.49
CT,Constanta,Medgidia,281869,0.364,0.219,0.559,0.563,0.322,0.06,0.2,14.94,17.03,1.03
AB,Alba,Sebes,403271,0.345,0.628,0.32,0.448,0.434,0.32,1.7,3.21,521.17,326.66
BH,Bihor,Salonta,518564,0.391,0.458,0.291,0.395,0.374,0.06,2.58,7.73,411.04,74.79
BZB,Bucuresti,Sector 4,556546,0.682,0.343,0.205,0.36,0.332,1.14,0.55,0.73,580.55,163.82
CT,Constanta,Mangalia,296689,0.349,0.218,0.564,0.584,0.356,0.14,5.67,0.39,15.76,22.25
BZ,Buzau,Ramnicul Sarat,417608,0.412,0.394,0.382,0.323,0.374,0.24,5.49,3.23,177.99,284.09
BZB,Bucuresti,Sector 3,689453,0.737,0.344,0.194,0.299,0.376,0.12,0.1,0.56,307.59,138.21
BZB,Bucuresti,Sector 5,949886,0.596,0.299,0.199,0.36,0.355,0.11,0.31,2.0,94.46,357.98
BN,Bistrita-Nasaud,Nasaud,587424,0.17,0.341,0.188,0.234,0.225,0.1,0.2,8.14,393.79,340.09
AG,Arges,Campulung,619158,0.405,0.347,0.398,0.366,0.369,0.05,1.94,2.01,313.85,303.03
CL,Calarasi,Oltenita,245744,0.377,0.376,0.479,0.44,0.299,0.39,4.25,1.69,280.41,22.81
DJ,Dolj,Bailesti,887225,0.436,0.383,0.385,0.406,0.32,0.09,7.5,1.22,413.23,298.37
IS,Iasi,Iasi,428558,0.568,0.414,0.306,0.334,0.383,0.55,0.7,0.7,192.42,119.77
BZB,Bucuresti,Sector 1,981340,0.667,0.323,0.229,0.356,0.374,0.52,0.19,2.6,362.04,383.84
IF,Ilfov,Chitila,802666,0.42,0.365,0.309,0.394,0.332,0.42,5.23,18.0,127.45,189.49
MM,Maramures,Baia Mare,760302,0.296,0.514,0.345,0.468,0.409,0.18,2.66,9.0,495.75,163.71
NT,Neamt,Roman,933690,0.347,0.52,0.38,0.472,0.374,0.06,1.6,12.43,177.11,178.91
BN,Bistrita-Nasaud,Nasaud,197737,0.167,0.313,0.166,0.229,0.233,0.05,0.66,18.0,323.16,301.0
SV,Suceava,Suceava,633602,0.396,0.446,0.329,0.467,0.388,0.13,0.64,2.84,265.92,387.63
CJ,Cluj,Turda,470254,0.48,0.434,0.302,0.421,0.364,0.38,0.19,2.11,479.42,199.35
MS,Mures,Targu Mures,966680,0.319,0.566,0.272,0.456,0.342,0.19,2.18,6.25,491.35,370.41
SB,Sibiu,Sibiu,856596,0.291,0.566,0.325,0.47,0.432,2.89,4.56,2.11,80.28,187.96
OT,Olt,Caracal,428133,0.474,0.366,0.379,0.416,0.376,0.06,6.54,10.14,558.99,76.99
HD,Hunedoara,Hunedoara,566168,0.35,0.48,0.349,0.451,0.4,0.5,7.21,4.99,257.89,186.51
SV,Suceava,Radauti,286965,0.346,0.491,0.398,0.387,0.369,0.56,0.79,18.0,159.78,304.16
CS,Caras-Severin,Resita,505274,0.142,0.333,0.173,0.247,0.232,0.15,6.92,12.78,487.53,350.52
SV,Suceava,Radauti,945036,0.327,0.458,0.39,0.386,0.418,0.54,4.04,16.16,439.21,382.51
TR,Teleorman,Turnu Magurele,814894,0.401,0.315,0.402,0.369,0.37,0.14,5.52,18.0,207.1,85.36
IL,Ialomita,Slobozia,630812,0.463,0.327,0.383,0.384,0.315,0.06,1.23,1.7,184.08,305.18
AR,Arad,Arad,733809,0.438,0.36,0.303,0.352,0.318,0.16,3.68,10.03,257.27,110.9
SV,Suceava,Suceava,941240,0.359,0.56,0.406,0.415,0.367,0.72,1.31,14.82,254.86,200.04
NT,Neamt,Piatra Neamt,201767,0.399,0.534,0.43,0.488,0.487,0.06,5.35,16.78,155.16,55.41
DB,Dambovita,Gaesti,469061,0.431,0.371,0.35,0.34,0.426,0.16,2.46,1.99,527.61,179.17
CJ,Cluj,Cluj-Napoca,381583,0.57,0.408,0.273,0.416,0.431,0.1,0.78,0.83,325.11,162.97
SB,Sibiu,Medias,688648,0.372,0.564,0.366,0.485,0.366,0.06,0.33,13.94,310.65,68.5
BZB,Bucuresti,Sector 2,389134,0.685,0.361,0.251,0.317,0.315,0.08,0.32,0.65,192.85,169.74
AR,Arad,Lipova,326787,0.396,0.407,0.338,0.387,0.357,1.15,5.9,11.34,577.57,285.18
PH,Prahova,Ploiesti,806805,0.426,0.357,0.307,0.361,0.42,0.24,0.54,2.47,398.25,100.1
DJ,Dolj,Bailesti,709079,0.482,0.339,0.4,0.366,0.337,0.38,7.5,9.63,407.35,168.9
BN,Bistrita-Nasaud,Nasaud,657806,0.158,0.266,0.18,0.248,0.228,0.11,1.94,0.36,231.76,232.33
TM,Timis,Timisoara,188845,0.465,0.428,0.236,0.365,0.343,0.15,0.8,0.43,110.25,216.45
OT,Olt,Caracal,964396,0.454,0.379,0.421,0.355,0.357,0.64,2.01,1.14,211.11,263.28
DB,Dambovita,Targoviste,470180,0.366,0.345,0.327,0.35,0.366,0.99,0.96,2.17,589.01,265.87
BZB,Bucuresti,Sector 2,365460,0.706,0.292,0.253,0.333,0.314,0.12,0.6,1.22,100.98,168.72
CS,Caras-Severin,Caransebes,704243,0.128,0.313,0.177,0.227,0.226,0.22,3.1,1.2,130.45,175.87
IS,Iasi,Iasi,786976,0.54,0.405,0.352,0.356,0.375,0.24,0.91,0.14,420.38,342.72
AG,Arges,Campulung,451560,0.369,0.397,0.336,0.323,0.321,0.21,3.68,6.89,129.84,231.83
HD,Hunedoara,Deva,301346,0.355,0.627,0.305,0.388,0.408,1.55,2.36,4.63,529.05,369.41
SM,Satu Mare,Carei,466121,0.449,0.344,0.304,0.352,0.338,1.36,5.27,10.6,113.09,46.62
TM,Timis,Timisoara,175000,0.499,0.407,0.278,0.414,0.353,0.25,0.37,2.57,264.43,398.82
BZB,Bucuresti,Sector 4,707733,0.724,0.361,0.215,0.353,0.335,0.46,2.19,0.39,230.81,220.42
CS,Caras-Severin,Caransebes,317438,0.136,0.273,0.174,0.195,0.214,0.16,1.3,12.73,247.75,31.88
PH,Prahova,Ploiesti,963018,0.573,0.396,0.271,0.368,0.41,0.1,0.77,0.82,300.95,334.61
IF,Ilfov,Voluntari,329663,0.503,0.334,0.317,0.324,0.389,0.27,2.26,14.66,560.47,384.02
SV,Suceava,Radauti,323385,0.323,0.433,0.317,0.495,0.376,0.37,1.94,9.41,255.79,213.23
AG,Arges,Pitesti,121729,0.438,0.395,0.375,0.387,0.356,0.41,3.08,11.43,119.85,235.06
SB,Sibiu,Sibiu,331461,0.278,0.576,0.352,0.455,0.383,0.53,0.23,15.02,243.62,224.98
IS,Iasi,Pascani,254512,0.471,0.393,0.3,0.378,0.321,0.2,0.79,0.57,165.53,74.87
BN,Bistrita-Nasaud,Bistrita,864562,0.14,0.345,0.178,0.259,0.208,0.41,4.22,12.91,156.72,164.94
BC,Bacau,Onesti,637640,0.463,0.38,0.378,0.344,0.42,0.23,1.67,10.21,584.75,263.86
DB,Dambovita,Targoviste,882814,0.402,0.363,0.382,0.333,0.358,0.06,0.3,0.76,305.15,241.35
BZ,Buzau,Ramnicul Sarat,714054,0.405,0.357,0.381,0.331,0.395,0.11,3.82,18.0,272.78,165.23
HR,Harghita,Miercurea Ciuc,879796,0.327,0.677,0.38,0.467,0.46,0.24,6.36,5.18,578.23,100.63
BZB,Bucuresti,Sector 5,417490,0.644,0.298,0.215,0.351,0.315,0.08,0.41,1.49,534.02,170.03
HD,Hunedoara,Deva,935209,0.279,0.584,0.326,0.442,0.485,0.07,4.48,4.78,169.47,185.5
PH,Prahova,Campina,594945,0.44,0.346,0.288,0.309,0.335,0.31,1.37,0.1,113.57,36.2
VS,Vaslui,Husi,968064,0.38,0.425,0.348,0.391,0.361,0.1,0.39,18.0,240.39,158.79
MM,Maramures,Baia Mare,655519,0.315,0.604,0.303,0.472,0.454,0.1,7.5,1.79,263.65,341.58
TM,Timis,Sannicolau Mare,783593,0.452,0.44,0.273,0.445,0.339,0.51,0.63,0.1,252.81,305.7
IL,Ialomita,Slobozia,351868,0.485,0.304,0.417,0.325,0.365,0.17,6.49,14.14,467.41,34.25
DJ,Dolj,Bailesti,275415,0.425,0.32,0.397,0.408,0.329,0.35,1.07,8.63,356.78,358.01
OT,Olt,Slatina,594201,0.413,0.377,0.338,0.399,0.356,0.06,5.7,0.23,555.36,232.23
TR,Teleorman,Alexandria,583458,0.463,0.38,0.43,0.386,0.335,0.5,4.56,15.84,450.33,393.9
SB,Sibiu,Sibiu,785443,0.345,0.573,0.339,0.487,0.445,0.05,0.2,4.23,544.47,92.45
TL,Tulcea,Babadag,924794,0.459,0.214,0.621,0.652,0.394,1.32,7.5,3.77,28.09,12.02
BZB,Bucuresti,Sector 1,723134,0.667,0.287,0.225,0.339,0.311,0.92,0.37,2.23,111.27,123.13
MS,Mures,Reghin,948510,0.342,0.512,0.287,0.355,0.343,0.39,2.74,18.0,235.36,171.91
BZB,Bucuresti,Sector 3,402359,0.628,0.285,0.232,0.347,0.398,0.68,0.78,1.41,390.87,197.1
AG,Arges,Curtea de Arges,619636,0.355,0.431,0.419,0.423,0.325,0.08,1.39,5.23,136.29,86.82
OT,Olt,Slatina,820607,0.363,0.333,0.344,0.425,0.332,0.23,7.5,10.48,415.55,212.18
OT,Olt,Slatina,672450,0.393,0.397,0.357,0.365,0.309,0.21,7.5,7.92,389.99,109.92
BZB,Bucuresti,Sector 6,769640,0.624,0.285,0.203,0.313,0.372,0.05,0.46,1.33,486.43,345.31
HD,Hunedoara,Petrosani,742278,0.359,0.481,0.355,0.468,0.452,0.3,2.54,7.08,403.9,337.89
BC,Bacau,Moinesti,574154,0.425,0.411,0.341,0.374,0.35,0.09,0.91,13.01,539.07,323.22
GJ,Gorj,Targu Jiu,502032,0.329,0.425,0.375,0.377,0.383,0.06,7.5,6.42,495.44,176.45
CJ,Cluj,Turda,202423,0.454,0.368,0.293,0.388,0.427,0.06,0.23,1.98,128.34,37.67
SB,Sibiu,Medias,736834,0.279,0.605,0.351,0.389,0.433,0.19,7.4,10.27,176.46,350.24
TM,Timis,Timisoara,671929,0.525,0.415,0.289,0.352,0.34,3.72,0.66,0.46,435.92,154.66
CJ,Cluj,Cluj-Napoca,532529,0.437,0.485,0.313,0.338,0.427,1.11,0.1,0.34,330.63,220.52
SV,Suceava,Suceava,668518,0.368,0.5,0.415,0.407,0.378,0.14,5.19,10.88,287.17,305.02
BZ,Buzau,Ramnicul Sarat,655509,0.408,0.437,0.422,0.335,0.348,0.09,0.64,12.79,550.22,128.58
IS,Iasi,Pascani,310170,0.539,0.367,0.365,0.397,0.402,0.66,0.56,0.41,350.89,86.12
MS,Mures,Targu Mures,523099,0.39,0.47,0.282,0.355,0.398,0.71,3.64,11.64,392.38,321.72
BZB,Bucuresti,Sector 5,329482,0.613,0.317,0.237,0.373,0.385,0.06,0.66,1.34,211.55,57.96
HR,Harghita,Miercurea Ciuc,581179,0.297,0.648,0.31,0.519,0.448,0.08,7.5,1.86,206.67,217.72
CJ,Cluj,Cluj-Napoca,433218,0.466,0.418,0.239,0.379,0.343,0.12,0.98,0.42,588.98,379.24
CL,Calarasi,Calarasi,937501,0.444,0.3,0.542,0.455,0.375,0.19,7.5,5.92,339.93,8.15
HR,Harghita,Odorheiu Secuiesc,974795,0.322,0.608,0.309,0.502,0.418,0.18,7.5,5.83,331.74,158.6
TM,Timis,Timisoara,243335,0.509,0.343,0.303,0.346,0.355,0.21,0.55,0.63,405.79,337.65
CT,Constanta,Constanta,257279,0.406,0.215,0.623,0.683,0.366,1.59,6.49,4.49,16.83,24.2
BZ,Buzau,Ramnicul Sarat,458387,0.358,0.389,0.33,0.359,0.362,0.12,2.22,10.84,226.98,85.51
GL,Galati,Tecuci,782226,0.438,0.343,0.537,0.373,0.336,0.18,5.85,6.39,567.07,1.12
BZB,Bucuresti,Sector 2,217536,0.578,0.302,0.214,0.375,0.392,0.17,0.51,1.15,305.9,111.64
DB,Dambovita,Gaesti,334921,0.434,0.37,0.42,0.398,0.352,0.07,3.39,15.92,288.24,368.53
GJ,Gorj,Targu Jiu,253162,0.348,0.47,0.373,0.38,0.383,0.17,7.5,0.95,491.04,283.52
BZB,Bucuresti,Sector 4,915862,0.765,0.351,0.224,0.334,0.306,3.44,0.42,0.68,524.19,381.16
CJ,Cluj,Turda,855169,0.513,0.398,0.258,0.364,0.335,0.19,0.58,1.06,337.34,183.5
BZB,Bucuresti,Sector 1,541696,0.766,0.352,0.244,0.372,0.369,0.22,1.1,1.67,326.03,123.98
HR,Harghita,Odorheiu Secuiesc,282894,0.316,0.626,0.343,0.44,0.42,0.09,1.08,9.74,428.89,307.97
DJ,Dolj,Craiova,565464,0.476,0.31,0.368,0.34,0.302,0.11,3.16,1.48,347.82,186.85
HR,Harghita,Odorheiu Secuiesc,968744,0.308,0.644,0.304,0.543,0.453,0.31,0.93,6.66,190.93,69.14
BZB,Bucuresti,Sector 1,437786,0.747,0.367,0.205,0.305,0.302,0.35,0.85,0.76,263.43,180.94
TL,Tulcea,Tulcea,230282,0.358,0.234,0.641,0.638,0.402,0.06,7.5,3.16,13.35,15.74
HR,Harghita,Odorheiu Secuiesc,429508,0.267,0.67,0.31,0.486,0.514,0.14,0.6,7.7,137.56,38.39
CJ,Cluj,Cluj-Napoca,711251,0.436,0.459,0.269,0.381,0.354,0.5,0.54,1.37,417.74,224.88
BH,Bihor,Oradea,501188,0.361,0.401,0.364,0.397,0.319,0.62,6.88,2.57,330.53,117.35
PH,Prahova,Ploiesti,116984,0.547,0.447,0.304,0.323,0.338,0.1,0.79,0.47,87.64,290.3
AB,Alba,Sebes,391683,0.313,0.545,0.34,0.488,0.384,0.84,1.69,10.6,90.35,163.33
HR,Harghita,Miercurea Ciuc,470635,0.308,0.642,0.365,0.509,0.453,0.08,3.09,8.41,437.43,228.93
GL,Galati,Tecuci,653583,0.39,0.428,0.491,0.434,0.33,1.5,1.45,5.52,331.7,10.99
TR,Teleorman,Turnu Magurele,610997,0.418,0.316,0.425,0.353,0.304,0.11,1.94,16.2,318.45,324.23
IS,Iasi,Iasi,752430,0.547,0.358,0.325,0.429,0.331,0.19,0.5,3.93,107.27,201.88
BH,Bihor,Salonta,642319,0.408,0.453,0.365,0.375,0.395,0.07,4.65,15.49,263.78,226.24
SM,Satu Mare,Satu Mare,340991,0.354,0.423,0.294,0.365,0.318,0.16,0.99,3.31,550.14,243.86
CJ,Cluj,Cluj-Napoca,985237,0.472,0.422,0.265,0.402,0.371,0.31,0.6,1.41,162.73,385.4
SV,Suceava,Radauti,436239,0.318,0.474,0.383,0.485,0.448,0.35,2.79,10.61,526.36,44.95
NT,Neamt,Piatra Neamt,558023,0.409,0.45,0.341,0.449,0.438,0.1,3.81,7.03,555.53,120.47
VS,Vaslui,Vaslui,606771,0.464,0.387,0.352,0.397,0.397,0.5,3.09,12.44,552.99,331.19
TL,Tulcea,Babadag,182154,0.389,0.239,0.695,0.57,0.396,3.63,7.5,18.0,3.33,15.96
VS,Vaslui,Vaslui,755215,0.451,0.425,0.428,0.411,0.407,0.12,5.26,2.91,596.47,106.11
TM,Timis,Sannicolau Mare,649946,0.561,0.4,0.291,0.415,0.366,0.12,0.59,1.27,301.93,317.94
AG,Arges,Campulung,504928,0.42,0.389,0.326,0.426,0.361,0.35,1.45,6.12,187.1,237.76
IF,Ilfov,Chitila,896262,0.5,0.375,0.381,0.326,0.336,1.14,2.24,18.0,224.31,254.55
NT,Neamt,Piatra Neamt,105151,0.375,0.572,0.325,0.432,0.436,0.24,5.79,9.73,221.44,357.83
BV,Brasov,Fagaras,165464,0.327,0.667,0.324,0.542,0.508,0.07,1.95,3.83,398.33,346.69
IL,Ialomita,Slobozia,172201,0.385,0.362,0.388,0.335,0.363,0.13,7.5,3.97,483.52,53.74
CJ,Cluj,Dej,500468,0.497,0.44,0.26,0.337,0.428,0.18,0.47,1.58,421.89,216.11
CV,Covasna,Targu Secuiesc,720252,0.308,0.56,0.309,0.4,0.46,0.29,4.09,12.27,190.3,105.26
VS,Vaslui,Husi,175161,0.375,0.407,0.425,0.368,0.33,0.11,3.4,5.68,81.48,377.67
SM,Satu Mare,Carei,143674,0.426,0.45,0.31,0.422,0.332,0.36,2.36,6.4,195.3,181.41
BZB,Bucuresti,Sector 1,861809,0.703,0.303,0.2,0.316,0.397,0.52,0.43,0.76,145.51,61.29
PH,Prahova,Sinaia,149726,0.437,0.455,0.308,0.391,0.338,0.28,0.15,0.96,545.28,274.58
IS,Iasi,Iasi,892408,0.47,0.381,0.326,0.336,0.348,0.24,1.58,0.21,367.04,212.21
BV,Brasov,Brasov,775257,0.337,0.577,0.31,0.503,0.483,0.08,5.01,10.2,384.87,344.96
MH,Mehedinti,Drobeta-Turnu Severin,555387,0.18,0.156,0.342,0.192,0.198,0.05,0.34,18.0,96.06,9.12
DB,Dambovita,Targoviste,716933,0.424,0.458,0.426,0.366,0.39,4.58,2.03,17.25,115.01,348.04
BZB,Bucuresti,Sector 6,113606,0.755,0.295,0.199,0.321,0.324,0.19,0.1,0.21,388.07,284.88
HD,Hunedoara,Hunedoara,567383,0.356,0.47,0.336,0.438,0.476,0.09,1.07,9.07,164.63,167.27
BZB,Bucuresti,Sector 2,773301,0.611,0.29,0.193,0.374,0.363,0.21,1.04,1.03,256.76,205.9
TM,Timis,Timisoara,135479,0.53,0.386,0.265,0.403,0.315,0.61,0.26,1.27,144.25,215.83
SV,Suceava,Suceava,267786,0.346,0.54,0.348,0.469,0.463,0.09,7.26,7.25,218.33,248.16
CJ,Cluj,Cluj-Napoca,815816,0.57,0.42,0.284,0.345,0.39,1.21,0.84,0.82,363.34,327.47
VS,Vaslui,Vaslui,385306,0.435,0.397,0.351,0.329,0.32,1.32,1.95,3.07,405.24,170.28
TM,Timis,Timisoara,197336,0.556,0.44,0.292,0.346,0.357,0.11,0.62,1.7,82.65,259.13
BV,Brasov,Fagaras,581235,0.269,0.528,0.346,0.434,0.387,0.19,3.05,12.86,194.67,160.62
TR,Teleorman,Alexandria,731381,0.443,0.332,0.399,0.356,0.347,0.5,2.87,13.14,381.73,182.74
TM,Timis,Lugoj,718911,0.594,0.453,0.237,0.397,0.336,0.17,0.66,1.83,558.59,277.99
BC,Bacau,Bacau,785222,0.385,0.445,0.404,0.38,0.412,0.41,0.32,5.54,493.94,306.52
TM,Timis,Lugoj,128727,0.449,0.458,0.313,0.368,0.386,0.26,0.61,0.89,110.45,55.5
IF,Ilfov,Otopeni,388149,0.529,0.321,0.311,0.37,0.396,2.83,2.53,18.0,307.35,122.72
SV,Suceava,Radauti,809529,0.341,0.478,0.371,0.48,0.414,0.47,2.28,18.0,208.0,257.73
PH,Prahova,Ploiesti,612045,0.496,0.34,0.258,0.348,0.342,2.03,0.96,3.73,182.25,89.97
BZB,Bucuresti,Sector 3,393589,0.772,0.321,0.249,0.364,0.302,0.07,0.18,0.59,499.97,328.29
NT,Neamt,Roman,957721,0.323,0.556,0.389,0.456,0.469,0.11,2.98,4.62,506.92,352.43
TM,Timis,Lugoj,508134,0.603,0.455,0.28,0.42,0.401,0.17,0.22,0.97,470.93,227.14
HD,Hunedoara,Petrosani,380435,0.276,0.546,0.278,0.449,0.487,0.16,2.37,4.28,213.95,229.65
PH,Prahova,Sinaia,723678,0.528,0.362,0.257,0.381,0.393,0.26,0.43,1.61,437.04,212.19
SB,Sibiu,Sibiu,857153,0.303,0.488,0.282,0.372,0.364,0.32,1.83,18.0,522.49,172.81
VN,Vrancea,Adjud,929334,0.383,0.422,0.334,0.401,0.402,0.08,3.33,3.26,579.08,310.53
AG,Arges,Curtea de Arges,300116,0.457,0.426,0.347,0.427,0.374,0.09,0.41,8.13,451.32,57.29
IS,Iasi,Pascani,125473,0.505,0.333,0.327,0.37,0.37,0.21,0.34,0.7,232.73,144.01
CJ,Cluj,Turda,519346,0.491,0.368,0.253,0.425,0.37,0.06,0.1,0.98,472.83,267.2
PH,Prahova,Ploiesti,998834,0.481,0.441,0.319,0.374,0.341,0.11,0.29,1.44,365.9,256.83
BZB,Bucuresti,Sector 2,897983,0.588,0.342,0.246,0.343,0.33,0.29,0.97,0.99,357.01,163.56
BZ,Buzau,Ramnicul Sarat,436970,0.356,0.385,0.322,0.391,0.417,2.54,2.15,6.81,264.69,93.15
GR,Giurgiu,Giurgiu,677545,0.488,0.402,0.538,0.439,0.387,1.44,0.99,14.42,307.77,4.85
CJ,Cluj,Turda,788541,0.521,0.402,0.276,0.361,0.346,0.13,0.68,1.18,177.09,307.52
SB,Sibiu,Sibiu,475813,0.374,0.551,0.34,0.429,0.48,0.06,3.85,4.68,334.77,92.23
DB,Dambovita,Targoviste,803006,0.374,0.443,0.332,0.366,0.399,0.21,3.27,14.49,393.05,382.37
IS,Iasi,Iasi,518815,0.505,0.36,0.277,0.378,0.411,0.14,0.83,3.03,465.9,214.52
BZB,Bucuresti,Sector 4,988847,0.719,0.364,0.255,0.357,0.328,0.12,0.61,0.83,305.51,260.36
VS,Vaslui,Barlad,222444,0.448,0.395,0.381,0.421,0.378,0.27,3.79,18.0,151.22,168.13
BV,Brasov,Fagaras,914085,0.258,0.583,0.319,0.468,0.489,0.05,2.55,3.68,227.27,282.53
VN,Vrancea,Adjud,438058,0.485,0.336,0.417,0.359,0.383,0.25,2.86,11.73,351.21,375.84
AB,Alba,Aiud,430335,0.336,0.548,0.334,0.364,0.429,0.25,5.11,2.93,155.57,144.64
HR,Harghita,Odorheiu Secuiesc,496441,0.26,0.591,0.342,0.444,0.452,0.38,7.5,8.87,511.39,153.4
BZ,Buzau,Buzau,392923,0.347,0.387,0.409,0.32,0.319,0.13,5.56,11.77,411.76,119.84
